strain,sex,animal_id,study,treatment,days_post_infection,bw_d0,bw_d3,bw_d6,bw_d8,bw_d9,bw_d10,bw_d11,bw_d12,bw_d13,bw_d14,bw_d17,bw_d20,bw_d23,bw_d26,clin_score_d0,clin_score_d3,clin_score_d6,clin_score_d8,clin_score_d9,clin_score_d10,clin_score_d11,clin_score_d12,clin_score_d13,clin_score_d14,clin_score_d17,clin_score_d20,clin_score_d23,clin_score_d26,CD4_brain_d7,CD4_brain_d12,CD4_brain_d21,CD4_brain_d28,CD4_spleen_d7,CD4_spleen_d12,CD4_spleen_d21,CD4_spleen_d28,Treg_brain_d7,Treg_brain_d12,Treg_brain_d21,Treg_brain_d28,Treg_spleen_d7,Treg_spleen_d12,Treg_spleen_d21,Treg_spleen_d28,CD8_brain_d7,CD8_brain_d12,CD8_brain_d21,CD8_brain_d28,CD8_spleen_d7,CD8_spleen_d12,CD8_spleen_d21,CD8_spleen_d28,NS4b_brain_d7,NS4b_brain_d12,NS4b_brain_d21,NS4b_brain_d28,NS4b_spleen_d7,NS4b_spleen_d12,NS4b_spleen_d21,NS4b_spleen_d28,WNV_IgM_d7,WNV_IgM_d12,WNV_IgM_d21,WNV_IgM_d28,WNV_brain_d4,WNV_brain_d7,WNV_brain_d12,WNV_kidney_d2,WNV_kidney_d4,WNV_kidney_d7,WNV_kidney_d12,WNV_spleen_d2,WNV_spleen_d4,WNV_spleen_d7,WNV_spleen_d12,Ifnb1_brain_d4,Ifnb1_brain_d7,Ifnb1_brain_d12,Ifnb1_kidney_d2,Ifnb1_kidney_d4,Ifnb1_kidney_d7,Ifnb1_kidney_d12,Ifnb1_spleen_d2,Ifnb1_spleen_d4,Ifnb1_spleen_d7,Ifnb1_spleen_d12,Ifit1_brain_d4,Ifit1_brain_d7,Ifit1_brain_d12,Ifit1_kidney_d2,Ifit1_kidney_d4,Ifit1_kidney_d7,Ifit1_kidney_d12,Ifit1_spleen_d2,Ifit1_spleen_d4,Ifit1_spleen_d7,Ifit1_spleen_d12
RIX:CC(024 x 023),m,65,adaptive,WNV,12,23.52,24.34,24.19,21.48,20.29,19.32,18.46,,,,,,,,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,66b,adaptive,WNV,12,24.71,25.14,26.15,24.08,23.31,23.29,23.46,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,,30.1,,,,,,,,9.07,,,,,,,,35.2,,,,,,,,17.8,,,,,,,,16.02915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,140,adaptive,WNV,21,28.19,28.45,28.4,24.54,23.51,22.44,,,,,,,,,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,141,adaptive,WNV,21,27.93,27.71,26.14,24.36,23.31,22.35,,,,,,,,,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,142,adaptive,WNV,21,29.36,29.16,28.19,26.48,24.85,22.46,,,,,,,,,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,109,adaptive,WNV,28,27.22,27.13,27.57,24.12,22.68,21.69,,,,,,,,,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,110,adaptive,WNV,28,27.44,27.39,28.56,25.45,24.11,23.55,23.92,24.09,23.61,22.36,24.74,25.13,25.74,28.2,0,0,0,1,0,1,1,1,1,0,0,0,0,0,,,,50.8,,,,,,,,12,,,,,,,,41.9,,,,,,,,22.3,,,,,,,,14.27629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,120,adaptive,WNV,28,24.18,24.37,24.41,21.26,20.06,19.2,,,,,,,,,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,305,innate,WNV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.907239361,,,,23.35870643,,,,,,,0.825241639,,,,0.424384865,,,,,,,8.277653658,,,,27.58222209,,,
RIX:CC(024 x 023),m,310,innate,WNV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.477792936,,,,1.312716563,,,,60.16185717,,,1.129050878,,,,0.980476723,,,,0.552184696,,,7.843208887,,,,11.72351529,,,,23.55563209,,
